City_Name,PM2_5_Mean,PM10_Mean,NO2_Mean,Population,Air_Quality_Year,Country_Name,Greenness_Public_Share,GDP_Capita
london,7.0,,9.0,508230.0,2020.0,united kingdom,23.9,54542.016
lublin,16.907,21.655,17.197,334720.0,2020.0,poland,21.3,44384.168
lyon,11.388,18.213,27.428,1719268.0,2021.0,france,18.1,55441.188
madrid,10.471,18.972,27.619,6617513.0,2021.0,spain,22.6,47141.543
magdeburg,11.02,17.396,19.216,237565.0,2021.0,germany,16.0,63578.14
malmo,8.843,14.603,17.062,322379.0,2020.0,sweden,21.8,63114.68
manchester,8.242,14.537,27.077,2730076.0,2020.0,united kingdom,22.2,54542.016
marseille,10.534,22.01,28.765,895431.0,2021.0,france,16.0,55441.188
mary,5.0,10.0,2.0,2697.0,2020.0,turkmenistan,12.5,17866.404
melbourne,7.1,19.607,16.207,4967733.0,2019.0,australia,20.4,59552.88
memphis,8.1,,12.8,1149542.0,2021.0,united states,19.5,74577.51
metz,9.446,13.67,16.757,166252.0,2021.0,france,20.3,55441.188
minsk,13.0,17.0,28.0,2028104.0,2020.0,belarus,19.5,27718.322
ndola,22.057,,15.724,23960.0,2010.0,zambia,12.2,3673.4841
modena,17.635,31.305,30.693,355774.0,2021.0,italy,20.4,53312.07
modesto,13.9,34.2,13.0,410501.0,2021.0,united states,20.7,74577.51
montreal,7.0,,15.8,4220566.0,2020.0,canada,20.0,55918.93
mumbai,43.439,89.008,46.0,20411274.0,2019.0,india,17.6,9160.063
muswellbrook,12.2,34.4,20.458,16089.0,2019.0,australia,22.8,59552.88
nantes,10.156,16.96,13.954,677766.0,2021.0,france,17.5,55441.188
nellore,27.0,57.0,17.0,751034.0,2020.0,india,15.4,9160.063
new orleans,7.3,16.9,10.0,991754.0,2021.0,united states,22.9,74577.51
new york,7.654,16.7,24.233,18803552.0,2021.0,united states,19.5,74577.51
niigata,8.15,,10.36,804298.0,2019.0,japan,14.0,46157.637
nimes,8.011,16.148,18.042,150610.0,2021.0,france,19.0,55441.188
norwich,8.288,12.811,9.837,142177.0,2020.0,united kingdom,17.4,54542.016
okayama,14.3,,15.069,724696.0,2019.0,japan,17.6,46157.637
okinawa,6.3,,7.535,130249.0,2019.0,japan,17.0,46157.637
olsztyn,13.974,18.095,11.47,172362.0,2020.0,poland,32.3,44384.168
opole,16.439,23.831,13.898,128137.0,2020.0,poland,11.2,44384.168
osaka,12.22,,33.529,19165340.0,2019.0,japan,18.4,46157.637
oslo,8.536,17.606,19.188,1041378.0,2021.0,norway,32.4,90469.81
ostrava,20.67,25.718,18.704,269904.0,2021.0,czechia,12.7,49681.06
oxford,6.722,10.753,19.365,151584.0,2020.0,united kingdom,19.3,54542.016
palermo,13.198,26.357,28.964,851146.0,2021.0,italy,16.2,53312.07
palmerston,9.75,22.0,4.5,33695.0,2019.0,new zealand,18.5,48826.574
paris,12.885,21.702,29.952,11017230.0,2021.0,france,16.1,55441.188
parma,14.928,28.881,24.532,328154.0,2021.0,italy,21.7,53312.07
perth,7.413,14.819,9.09,2041959.0,2019.0,australia,25.9,59552.88
philadelphia,9.286,,18.933,5716764.0,2021.0,united states,22.1,74577.51
ploiesti,17.275,27.147,32.522,227445.0,2021.0,romania,11.4,40665.527
plovdiv,7.8,31.072,23.198,346563.0,2022.0,bulgaria,15.4,33403.375
port of spain,13.4,25.0,8.55,544207.0,2019.0,trinidad and tobago,11.3,31705.834
portland,6.1,11.0,12.5,2151050.0,2021.0,united states,16.1,74577.51
porto,13.497,18.871,36.541,1312947.0,2019.0,portugal,18.0,41755.48
poznan,16.138,22.904,17.342,531030.0,2020.0,poland,26.2,44384.168
preston,7.36,13.215,17.843,328158.0,2020.0,united kingdom,16.5,54542.016
providence,6.84,11.1,11.3,1199970.0,2021.0,united states,24.5,74577.51
puebla,18.667,45.667,56.333,3194848.0,2018.0,mexico,4.9,22142.607
quito,18.316,36.718,24.553,1873763.0,2013.0,ecuador,21.4,14472.316
rajkot,26.5,97.0,17.0,1878032.0,2020.0,india,21.2,9160.063
ramat gan,17.9,,25.048,163481.0,2021.0,israel,17.9,48432.11
reims,10.785,19.003,19.562,209507.0,2021.0,france,17.0,55441.188
rennes,9.822,16.929,17.981,353897.0,2021.0,france,17.9,55441.188
reykjavik,5.26,9.715,8.646,132252.0,2020.0,iceland,27.9,67255.67
rio de janeiro,11.45,41.667,19.667,12902306.0,2015.0,brazil,12.6,19018.238
roanoke,7.1,,9.5,308707.0,2021.0,united states,16.3,74577.51
rzeszow,17.107,23.978,19.445,191564.0,2020.0,poland,10.4,44384.168
salinas,5.0,23.5,6.2,415057.0,2021.0,united states,17.6,74577.51
salt lake city,8.7,22.4,23.5,1169022.0,2021.0,united states,26.2,74577.51
samsun,17.078,47.42,62.814,642592.0,2020.0,turkey,14.0,34609.914
san diego,9.467,33.2,11.475,3251064.0,2021.0,united states,15.8,74577.51
san francisco,7.383,14.7,12.6,3313702.0,2021.0,argentina,17.3,27104.98
santos,15.0,25.0,25.5,433640.0,2016.0,brazil,18.7,19018.238
sao paulo,16.673,29.006,39.06,22043028.0,2019.0,brazil,18.8,19018.238
sapporo,6.75,,16.011,2669680.0,2019.0,japan,19.1,46157.637
seoul,25.397,43.357,0.033,9963452.0,2019.0,south korea,15.7,50572.25
sevilla,10.844,25.628,17.534,703790.0,2021.0,spain,22.6,47141.543
sheffield,8.762,14.433,23.866,730158.0,2020.0,united kingdom,17.1,54542.016
shizuoka,8.575,,12.244,255375.0,2019.0,japan,20.6,46157.637
singapore,12.0,28.0,25.0,5935053.0,2021.0,singapore,19.1,127543.555
singrauli,56.667,143.333,36.333,220257.0,2020.0,india,13.9,9160.063
sioux falls,6.0,17.6,8.1,228261.0,2020.0,united states,23.9,74577.51
sivas,21.224,47.768,60.536,365766.0,2020.0,turkey,9.2,34609.914
skopje,27.594,42.78,25.207,595275.0,2021.0,north macedonia,13.7,23584.564
sofia,5.81,24.609,20.133,1280968.0,2022.0,bulgaria,20.5,33403.375
songkhla,17.0,34.0,12.148,966597.0,2021.0,thailand,12.7,21142.664
stavanger,8.108,9.954,8.794,129191.0,2021.0,norway,27.2,90469.81
stockholm,5.157,14.235,18.52,1632798.0,2021.0,sweden,21.6,63114.68
strasbourg,10.881,18.617,26.423,475227.0,2021.0,france,16.9,55441.188
surat,36.667,100.0,24.667,7184590.0,2020.0,india,18.7,9160.063
sydney,11.273,23.62,15.313,4925987.0,2019.0,australia,13.5,59552.88
sylhet,59.77,110.55,13.744,851808.0,2018.0,bangladesh,26.8,8242.398
szczecin,12.869,20.898,17.181,401370.0,2020.0,poland,28.5,44384.168
szeged,15.787,23.127,14.426,160258.0,2020.0,hungary,15.4,40543.992
talca,20.55,41.85,16.7,221100.0,2019.0,chile,13.1,29462.64
tallinn,3.857,14.432,11.689,445259.0,2022.0,estonia,59.7,42471.824
tartu,5.253,14.71,8.69,95430.0,2022.0,estonia,74.9,42471.824
tehran,28.153,71.507,111.971,9134708.0,2016.0,iran,23.4,15912.03
thessaloniki,24.163,34.603,31.76,812166.0,2022.0,greece,16.2,36905.453
tokyo,10.828,,28.673,37393129.0,2019.0,japan,23.1,46157.637
toledo,11.713,23.009,15.744,85811.0,2021.0,united states,18.1,74577.51
toronto,7.333,,21.833,6196731.0,2020.0,canada,21.2,55918.93
torrelavega,11.0,19.321,10.877,51597.0,2021.0,spain,21.5,47141.543
torun,14.862,22.991,14.505,202074.0,2020.0,poland,36.2,44384.168
toulon,7.917,22.919,21.746,579095.0,2021.0,france,13.4,55441.188
toulouse,10.237,16.712,20.595,1024167.0,2021.0,france,16.0,55441.188
tours,9.797,14.922,14.412,360360.0,2021.0,france,14.9,55441.188
trondheim,5.336,11.051,19.382,179692.0,2021.0,norway,30.0,90469.81
honolulu,3.1,10.933,6.3,891839.0,2021.0,united states,16.4,74577.51
varna,10.186,23.968,17.217,335068.0,2022.0,bulgaria,17.6,33403.375
victoria,7.5,,9.5,385999.0,2020.0,canada,21.9,55918.93
victoria,7.5,,9.5,385999.0,2020.0,seychelles,11.3,29468.951
vijayawada,22.0,56.778,16.889,2039845.0,2020.0,india,25.0,9160.063
virginia beach,7.167,11.0,9.95,1477248.0,2021.0,united states,18.0,74577.51
visalia,20.7,,15.9,401041.0,2021.0,united states,16.6,74577.51
wellington,5.0,,2.0,415.0,2020.0,new zealand,21.0,48826.574
winnipeg,5.5,,8.5,816593.0,2020.0,canada,20.3,55918.93
wollongong,8.8,22.533,10.181,305329.0,2019.0,australia,19.2,59552.88
zagreb,16.104,25.479,27.668,684878.0,2020.0,croatia,19.9,41116.87
zaragoza,9.1,17.535,20.224,730828.0,2021.0,spain,28.2,47141.543
zielona gora,10.231,17.848,12.787,140297.0,2020.0,poland,58.2,44384.168
zurich,10.125,13.8,23.62,1395356.0,2021.0,switzerland,22.0,82557.55
